2026-07-15 19:19:18,108 | test.py | Entity 52 has job 
2026-07-15 19:19:18,110 | job.py | target is 7
2026-07-15 19:19:18,114 | job.py | target is (5, 10)
2026-07-15 19:19:18,115 | job.py | Entity 51 is moving to (5, 10)
2026-07-15 19:19:18,718 | test.py | ========== DIAGNOSTIC SNAPSHOT: ENTITY 52 ==========
2026-07-15 19:19:18,719 | test.py |   [State] Currently in state: Idle
2026-07-15 19:19:18,719 | test.py |   [Hunger] Value: 60
2026-07-15 19:19:18,719 | test.py |   [Job] Idle (No active Job component attached)
2026-07-15 19:19:18,719 | test.py |   [Inventory] Contents:
2026-07-15 19:19:18,719 | test.py |     - Wood: 6
2026-07-15 19:19:18,719 | test.py |     - Stone: 8
2026-07-15 19:19:18,719 | test.py | ====================================================
2026-07-15 19:19:18,719 | job.py | target is 7
2026-07-15 19:19:18,719 | job.py | target is (5, 10)
2026-07-15 19:19:18,719 | job.py | Entity 51 is moving to (5, 10)
2026-07-15 19:19:19,320 | test.py | ========== DIAGNOSTIC SNAPSHOT: ENTITY 52 ==========
2026-07-15 19:19:19,321 | test.py |   [State] Currently in state: Idle
2026-07-15 19:19:19,321 | test.py |   [Hunger] Value: 40
2026-07-15 19:19:19,321 | test.py |   [Job] Idle (No active Job component attached)
2026-07-15 19:19:19,321 | test.py |   [Inventory] Contents:
2026-07-15 19:19:19,321 | test.py |     - Wood: 6
2026-07-15 19:19:19,321 | test.py |     - Stone: 8
2026-07-15 19:19:19,321 | test.py | ====================================================
2026-07-15 19:19:19,321 | job.py | target is 7
2026-07-15 19:19:19,321 | job.py | target is (5, 10)
2026-07-15 19:19:19,321 | job.py | Entity 51 is moving to (5, 10)
2026-07-15 19:19:19,922 | test.py | ========== DIAGNOSTIC SNAPSHOT: ENTITY 52 ==========
2026-07-15 19:19:19,923 | test.py |   [State] Currently in state: Idle
2026-07-15 19:19:19,923 | test.py |   [Hunger] Value: 20
2026-07-15 19:19:19,923 | test.py |   [Job] Idle (No active Job component attached)
2026-07-15 19:19:19,923 | test.py |   [Inventory] Contents:
2026-07-15 19:19:19,923 | test.py |     - Wood: 6
2026-07-15 19:19:19,923 | test.py |     - Stone: 8
2026-07-15 19:19:19,923 | test.py | ====================================================
2026-07-15 19:19:19,923 | job.py | target is 7
2026-07-15 19:19:19,923 | job.py | target is (5, 10)
2026-07-15 19:19:19,923 | job.py | Entity 51 is moving to (5, 10)
2026-07-15 19:19:20,524 | test.py | ========== DIAGNOSTIC SNAPSHOT: ENTITY 52 ==========
2026-07-15 19:19:20,525 | test.py |   [State] Currently in state: Idle
2026-07-15 19:19:20,525 | test.py |   [Hunger] Value: 0
